WORD 	P+ 	P-
amish		0.000884955752212 	0.000416666666667
versatile		0.00132743362832 	0.000416666666667
lace		0.000442477876106 	0.000833333333333
beware		0.000442477876106 	0.00208333333333
lack		0.000442477876106 	0.000833333333333
results		0.000884955752212 	0.000416666666667
felt		0.000884955752212 	0.000833333333333
four		0.000884955752212 	0.000416666666667
concept		0.000442477876106 	0.000833333333333
skin		0.000442477876106 	0.000833333333333
shot		0.000442477876106 	0.000833333333333
hate		0.000442477876106 	0.00125
children		0.000442477876106 	0.000833333333333
issues		0.000442477876106 	0.00208333333333
poorly		0.000442477876106 	0.00125
compact		0.00132743362832 	0.000833333333333
looking		0.00221238938053 	0.000833333333333
certainly		0.000884955752212 	0.000416666666667
smily		0.000884955752212 	0.000416666666667
lining		0.000442477876106 	0.000833333333333
originality		0.000442477876106 	0.000833333333333
lower		0.000442477876106 	0.000833333333333
charge		0.000442477876106 	0.000833333333333
dissatisfied		0.000442477876106 	0.000833333333333
th		0.000442477876106 	0.000833333333333
stable		0.000442477876106 	0.000833333333333
friendly		0.00132743362832 	0.000416666666667
returned		0.000442477876106 	0.00125
returning		0.000442477876106 	0.000833333333333
very		0.0176991150442 	0.0129166666667
putting		0.000884955752212 	0.000416666666667
additional		0.000884955752212 	0.000833333333333
decide		0.000442477876106 	0.000833333333333
fall		0.00176991150442 	0.000416666666667
awful		0.000442477876106 	0.000833333333333
little		0.00176991150442 	0.00166666666667
condition		0.000884955752212 	0.000416666666667
cool		0.00132743362832 	0.000416666666667
delivery		0.00442477876106 	0.00166666666667
entire		0.000442477876106 	0.000833333333333
receiving		0.000442477876106 	0.000833333333333
impressive		0.00132743362832 	0.000833333333333
did		0.000442477876106 	0.000833333333333
die		0.000884955752212 	0.000416666666667
button		0.000442477876106 	0.00166666666667
fragile		0.000442477876106 	0.000833333333333
try		0.000884955752212 	0.000416666666667
item		0.000442477876106 	0.00208333333333
engrossing		0.000884955752212 	0.000416666666667
warranties		0.000442477876106 	0.000833333333333
small		0.00132743362832 	0.00458333333333
dip		0.000442477876106 	0.000833333333333
reliable		0.000884955752212 	0.000416666666667
clothes		0.000884955752212 	0.000833333333333
guzzling		0.000442477876106 	0.000833333333333
smaller		0.000442477876106 	0.000833333333333
says		0.000442477876106 	0.000833333333333
regret		0.000884955752212 	0.000416666666667
among		0.000884955752212 	0.000416666666667
obsolete		0.000442477876106 	0.000833333333333
boots		0.000884955752212 	0.000416666666667
elegant		0.00176991150442 	0.000416666666667
second		0.000884955752212 	0.000833333333333
cost		0.000884955752212 	0.000416666666667
design		0.00309734513274 	0.00125
shirts		0.000884955752212 	0.000833333333333
corner		0.000442477876106 	0.00125
odd		0.000442477876106 	0.000833333333333
casual		0.00221238938053 	0.000416666666667
stressful		0.000884955752212 	0.000416666666667
sub		0.000442477876106 	0.000833333333333
giving		0.000442477876106 	0.000833333333333
fingers		0.000442477876106 	0.000833333333333
pleased		0.00132743362832 	0.000833333333333
version		0.000884955752212 	0.000416666666667
goes		0.000884955752212 	0.000416666666667
new		0.000442477876106 	0.000833333333333
ever		0.00221238938053 	0.00291666666667
revealing		0.000884955752212 	0.000416666666667
full		0.000884955752212 	0.000416666666667
leg		0.000884955752212 	0.000416666666667
never		0.000442477876106 	0.00166666666667
hours		0.000442477876106 	0.000833333333333
china		0.000442477876106 	0.000833333333333
ubuntu		0.000442477876106 	0.000833333333333
quite		0.000884955752212 	0.000416666666667
wait		0.000884955752212 	0.000416666666667
box		0.000884955752212 	0.000416666666667
bt		0.000442477876106 	0.000833333333333
great		0.0141592920354 	0.00208333333333
kids		0.00176991150442 	0.00125
daughter		0.00176991150442 	0.000833333333333
colored		0.000442477876106 	0.000833333333333
noticeable		0.000884955752212 	0.000416666666667
jams		0.000442477876106 	0.000833333333333
receive		0.000442477876106 	0.000833333333333
k		0.000884955752212 	0.000833333333333
larger		0.000442477876106 	0.000833333333333
experience		0.00176991150442 	0.000833333333333
bulges		0.000884955752212 	0.000416666666667
products		0.000884955752212 	0.00166666666667
suggestion		0.000884955752212 	0.000416666666667
mindblowing		0.00132743362832 	0.000416666666667
action		0.000442477876106 	0.000833333333333
surely		0.000884955752212 	0.000416666666667
weird		0.000442477876106 	0.000833333333333
narrow		0.00132743362832 	0.000833333333333
makes		0.000442477876106 	0.000833333333333
honor		0.000442477876106 	0.000833333333333
fell		0.000884955752212 	0.000416666666667
plotted		0.000884955752212 	0.000416666666667
golden		0.00176991150442 	0.000416666666667
fantastic		0.00176991150442 	0.000416666666667
killer		0.000442477876106 	0.000833333333333
love		0.00619469026549 	0.000416666666667
os		0.000442477876106 	0.000833333333333
awear		0.000442477876106 	0.000833333333333
app		0.000442477876106 	0.000833333333333
marked		0.000442477876106 	0.000833333333333
highly		0.00176991150442 	0.000416666666667
brought		0.000884955752212 	0.000416666666667
visible		0.000884955752212 	0.000416666666667
moral		0.000442477876106 	0.000833333333333
texture		0.000884955752212 	0.000833333333333
motor		0.000442477876106 	0.000833333333333
fake		0.000442477876106 	0.00208333333333
total		0.000442477876106 	0.00208333333333
unit		0.000884955752212 	0.000416666666667
narayan		0.000884955752212 	0.000416666666667
crap		0.000442477876106 	0.00208333333333
working		0.000442477876106 	0.0025
positive		0.000884955752212 	0.000416666666667
sweater		0.000442477876106 	0.000833333333333
arms		0.000442477876106 	0.00125
duplicate		0.000442477876106 	0.0025
camera		0.000442477876106 	0.000833333333333
wonderfully		0.000884955752212 	0.000416666666667
wondering		0.000442477876106 	0.000833333333333
recommend		0.00265486725664 	0.000833333333333
proportions		0.000442477876106 	0.000833333333333
more		0.000442477876106 	0.00125
attractive		0.000884955752212 	0.000833333333333
pretty		0.00398230088496 	0.00166666666667
materiel		0.000884955752212 	0.000416666666667
under		0.000442477876106 	0.000833333333333
impress		0.000442477876106 	0.000833333333333
hurt		0.000442477876106 	0.000833333333333
long		0.000884955752212 	0.00208333333333
stick		0.000884955752212 	0.000416666666667
excellent		0.00575221238938 	0.000416666666667
baby		0.000884955752212 	0.000416666666667
ok		0.00176991150442 	0.0025
hole		0.000442477876106 	0.000833333333333
aligned		0.000442477876106 	0.000833333333333
